idx,county,year,type,vmt sum,days,vmt min,vmt max,vmt sumsqr,vmt mean
0,ALAMEDA,2007,detector based,10520221822.06,365,11898823.38,43468836.2,313994568815128060,28822525.53989041
1,ALAMEDA,2007,hpms based,60221238263.11008,365,90815066.08426982,220577959.17955813,10146582313866854000,164989693.87153447
2,ALAMEDA,2008,detector based,11894454823.179998,366,18971339.12,42684544.44,392968561149361340,32498510.44584699
3,ALAMEDA,2008,hpms based,65506813053.037315,366,121866676.0801768,545950375.1842476,12117726448404943000,178980363.53288883
4,ALAMEDA,2009,detector based,9200785020.54,365,7845695.27,30324927.409999996,234178188507205340,25207630.193260275
5,ALAMEDA,2009,hpms based,61600077837.12404,365,79881904.02872734,215201254.2153369,10511910650859911000,168767336.54006585
6,ALPINE,2007,detector based,0,365,0,0,0,0
7,ALPINE,2007,hpms based,66398227.70833335,365,116899.59954756247,252801.1860445348,12292710868863.32,181912.95262557082
8,ALPINE,2008,detector based,0,366,0,0,0,0
9,ALPINE,2008,hpms based,73188007.08333337,366,133248.84393123805,297692.2348123436,14908759261439.898,199967.23246812398
10,ALPINE,2009,detector based,0,364,0,0,0,0
11,ALPINE,2009,hpms based,69372435.66666666,364,91827.17490949182,292463.6861444772,13597396465273.107,190583.61446886443
12,AMADOR,2007,detector based,0,365,0,0,0,0
13,AMADOR,2007,hpms based,474086349.37499946,365,813670.9337438624,1817038.8124164066,632134276068018.8,1298866.7106164368
14,AMADOR,2008,detector based,0,366,0,0,0,0
15,AMADOR,2008,hpms based,545273159.2083334,366,957155.3145452696,1945767.8877708828,822679849449027,1489817.3748861568
16,AMADOR,2009,detector based,0,365,0,0,0,0
17,AMADOR,2009,hpms based,483137785.6249998,365,238036.76443743627,2112849.9400216723,668098214555280.2,1323665.1660958899
18,BUTTE,2007,detector based,48801562286.64,365,59957280,159449040,6706081985996237000,133702910.37435617
19,BUTTE,2007,hpms based,8249888390.791668,365,14781633.138880271,27461519.02125997,188320115731879840,22602433.947374433
20,BUTTE,2008,detector based,47164545793.68001,366,59581440,160200720,6252332986829165000,128864879.21770494
21,BUTTE,2008,hpms based,8382718934.498755,366,14798735.907179452,28155676.263463296,194020821229608060,22903603.64617146
22,BUTTE,2009,detector based,19367114145.12,365,0,155673360,2563758534020441000,53060586.6989589
23,BUTTE,2009,hpms based,5904827675.595681,365,8716727.367350476,29310817.019078664,108796800002138620,16177610.070125153
24,CALAVERAS,2007,detector based,0,365,0,0,0,0
25,CALAVERAS,2007,hpms based,583882239.1666666,365,1033984.8048270425,2101678.2945245914,944661360966356.9,1599677.3675799086
26,CALAVERAS,2008,detector based,0,366,0,0,0,0
27,CALAVERAS,2008,hpms based,694003383.3333331,366,1485699.2258404407,3073682.481480327,1348012590433607,1896184.1074681233
28,CALAVERAS,2009,detector based,0,365,0,0,0,0
29,CALAVERAS,2009,hpms based,593862031.2916669,365,295395.79427454097,2633484.489875097,999162162694990.9,1627019.263812786
30,COLUSA,2007,detector based,0,365,0,0,0,0
31,COLUSA,2007,hpms based,805437720.25,365,1436383.0024702435,2896334.1611109306,1804138778802149,2206678.6856164383
32,COLUSA,2008,detector based,0,366,0,0,0,0
33,COLUSA,2008,hpms based,909073802.208333,366,1645353.3888904408,3101191.351244443,2275003388291795.5,2483808.2027550084
34,COLUSA,2009,detector based,0,365,0,0,0,0
35,COLUSA,2009,hpms based,783293531.2500001,365,353603.10818024236,3273774.7479883814,1754775008198667,2146009.6746575343
36,CONTRA COSTA,2007,detector based,3295873358.5199995,365,2375444.1999999997,12327398.370000001,30703740770764430,9029790.023342464
37,CONTRA COSTA,2007,hpms based,31020659607.511345,365,25901368.506527413,110966650.9509606,2714260522605800000,84988108.5137297
38,CONTRA COSTA,2008,detector based,3978351046.6299996,366,6679984.92,15523441.110000001,44346303514172830,10869811.602814207
39,CONTRA COSTA,2008,hpms based,31610347837.97129,366,51269655.35860876,120913330.21974155,2806722636935401000,86367070.59554997
40,CONTRA COSTA,2009,detector based,3731426676.62,365,2201587.12,11981839.680000002,38580796348271800,10223086.785260273
41,CONTRA COSTA,2009,hpms based,30842203108.25908,365,29417259.75581139,106844090.91827196,2633187597501380600,84499186.59797008
